Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,19.779285,19.821428,18.400000,18.710714,16.066456,1991973200
2013-01-08,18.900356,18.996071,17.803928,17.919643,15.387181,2552172000
2013-01-15,17.796429,18.241072,17.263571,17.857143,15.333515,2494178400
2013-01-22,18.020000,18.392500,15.535714,16.065357,13.794950,4777452400
2013-01-29,16.375000,16.521429,15.785714,15.797143,13.564640,2324249200
2013-02-05,15.858929,17.319286,15.793571,17.140356,14.718027,3022283600
2013-02-12,17.125357,17.227858,16.425714,16.434286,14.193983,1831281200
2013-02-19,16.467857,16.526072,15.806071,15.814286,13.658504,2062502400
2013-02-26,15.850714,16.158571,14.964286,15.001786,12.956762,2546569200
2013-03-05,15.052857,15.678929,15.026786,15.638214,13.506431,2432875200
2013-03-12,15.557143,16.337856,15.191429,16.275715,14.057028,2425494400
2013-03-19,16.410713,16.783930,16.017857,16.556429,14.299475,2114932400
2013-03-26,16.622856,16.637142,15.276429,15.318214,13.230052,1458102800
2013-04-02,15.271429,15.647857,14.988571,15.221786,13.146770,1935707200
2013-04-09,15.227143,15.642500,14.983929,14.994643,12.950594,1567039600
2013-04-16,15.056071,15.236071,13.753571,14.238214,12.297276,2956321200
2013-04-23,14.428214,15.486429,14.017857,15.361429,13.267380,3423151200
2013-04-30,15.539286,16.507143,15.431071,16.453930,14.210952,2478218400
2013-05-07,16.606071,16.633928,16.088572,16.240713,14.026796,2006639600
2013-05-14,16.208929,16.257143,14.960714,15.818929,13.752946,2671418400
2013-05-21,15.648214,16.012501,15.507143,15.898214,13.821877,1528248400
2013-05-28,16.067858,16.325001,15.692857,16.097143,13.994823,1826896400
2013-06-04,16.186428,16.229643,15.456071,15.674643,13.627500,1854941200
2013-06-11,15.562143,15.812857,15.303571,15.428571,13.413565,1368452400
2013-06-18,15.412857,15.532143,14.216071,14.376429,12.498838,1825140800
2013-06-25,14.489286,14.723929,13.888214,14.615000,12.706249,1988702800
2013-07-02,14.641429,15.117500,14.623929,14.823214,12.887271,1282957200
2013-07-09,14.771429,15.409286,14.656429,15.265714,13.271980,1481762800
2013-07-16,15.232857,15.531071,15.148929,15.225357,13.236897,1110925200
2013-07-23,15.214286,16.071072,14.953929,15.992500,13.903848,1639036000
2013-07-30,16.070000,16.809643,16.043928,16.766071,14.576387,1432270000
2013-08-06,16.715000,16.853214,16.201786,16.691429,14.511492,1520792000
2013-08-13,16.819286,18.347857,16.716070,18.133572,15.869379,3001432000
2013-08-20,18.203930,18.234644,17.792856,17.963215,15.720298,1492472800
2013-08-27,17.785713,17.946787,17.357143,17.400715,15.228035,1243751600
2013-09-03,17.610714,18.139999,17.405357,18.077499,15.820312,1613542000
2013-09-10,18.078571,18.123215,15.972143,16.075714,14.068473,2888485600
2013-09-17,15.998571,17.746786,15.982143,17.522858,15.334926,2722193600
2013-09-24,17.674286,17.695356,16.943214,17.026787,14.900793,1406720000
2013-10-01,17.087500,17.594643,17.084999,17.419643,15.244594,1536981600
2013-10-08,17.497856,17.770714,17.081429,17.715714,15.503704,1400882000
2013-10-15,17.768213,18.725000,17.697144,18.620001,16.295080,1513416800
2013-10-22,18.800358,19.043928,18.143929,18.924286,16.561373,2120784400
2013-10-29,19.152500,19.258928,18.376429,18.812500,16.463539,1785184800
2013-11-05,18.735001,18.888929,18.299286,18.537500,16.222883,1257978400
2013-11-12,18.488214,18.902857,18.462856,18.522499,16.304392,1246781200
2013-11-19,18.536785,18.781071,18.345358,18.705000,16.465040,1117919600
2013-11-26,18.718571,20.154642,18.714287,19.686787,17.329248,1555503600
2013-12-03,19.939285,20.540714,19.917143,20.229643,17.807100,1941203600
2013-12-10,20.127857,20.391787,19.773930,19.910713,17.526367,1515693200
2013-12-17,19.850357,20.382856,19.242857,20.360357,17.922163,2053794400
2013-12-24,20.353214,20.424286,19.725714,19.804285,17.432680,851076800
2013-12-31,19.791786,20.045713,19.057142,19.426071,17.099751,1262847600
2014-01-07,19.440001,19.530714,18.924286,19.133215,16.841969,1538356400
2014-01-14,19.222143,20.007143,19.202143,19.309643,16.997274,1380218000
2014-01-21,19.321072,19.903214,19.300714,19.660713,17.306301,2095984800
2014-01-28,18.170000,18.392857,17.626785,17.911785,15.766807,3113096000
2014-02-04,18.066071,18.999643,17.955713,18.892500,16.630087,1678630800
2014-02-11,18.950357,19.499287,18.910713,19.428213,17.204018,1170680000
2014-02-18,19.500000,19.685356,18.657858,18.841070,16.684082,1447572000
2014-02-25,18.906429,19.026787,18.414286,18.848572,16.690731,1420801200
2014-03-04,18.964287,19.098213,18.787500,18.961430,16.790665,1044005200
2014-03-11,19.123215,19.273571,18.678572,18.812143,16.658474,1173037600
2014-03-18,18.782143,19.303572,18.757143,19.256786,17.052214,1372548800
2014-03-25,19.339287,19.607143,19.080357,19.169287,16.974726,1173326000
2014-04-01,19.205713,19.410000,18.638929,18.695356,16.555059,1108626400
2014-04-08,18.756786,19.008572,18.469286,18.631430,16.498442,1167101600
2014-04-15,18.581072,19.004999,18.261786,18.970358,16.798569,948138800
2014-04-22,18.868214,21.276787,18.730356,21.217501,18.788450,2417175600
2014-04-29,21.205000,21.464287,20.941429,21.462856,19.005718,1516648000
2014-05-06,21.492857,21.586071,20.726070,21.172501,18.748604,1392532400
2014-05-13,21.142857,21.690357,20.907143,21.592501,19.227316,1150998800
2014-05-20,21.589643,21.954643,21.454643,21.933214,19.530710,864665200
2014-05-27,21.995714,23.006071,21.986786,22.451786,19.992481,1974193200
2014-06-03,22.445000,23.469999,22.437500,23.424999,20.859083,1583595200
2014-06-10,23.682501,23.762501,22.719999,23.049999,20.525169,1013172000
2014-06-17,23.077499,23.174999,22.650000,22.707500,20.220186,973440000
2014-06-24,22.687500,23.432501,22.412500,23.232500,20.687674,888181200
2014-07-01,23.379999,23.997499,23.272499,23.992500,21.364424,584191200
2014-07-08,24.067499,24.222500,23.379999,24.112499,21.471281,872688000
2014-07-15,24.200001,24.275000,23.142500,23.485001,20.912523,980956800
2014-07-22,23.670000,24.809999,23.530001,24.754999,22.043409,1170524000
2014-07-29,24.832500,24.860001,23.702499,23.897499,21.279835,885860000
2014-08-05,23.840000,24.020000,23.320000,23.997499,21.368879,878608000
2014-08-12,24.010000,24.842501,23.902500,24.790001,22.184370,761400000
2014-08-19,24.852501,25.542500,24.830000,25.385000,22.716835,960120000
2014-08-26,25.355000,25.725000,25.174999,25.625000,22.931606,794304000
2014-09-02,25.764999,25.934999,24.447500,24.590000,22.005398,1478066800
2014-09-09,24.770000,25.770000,24.035000,25.407499,22.736967,1908046400
2014-09-16,24.950001,25.587500,24.722500,25.264999,22.609449,1155299200
2014-09-23,25.150000,25.735001,24.430000,25.027500,22.396910,1343211200
2014-09-30,25.202499,25.385000,24.510000,24.905001,22.287285,940136000
2014-10-07,24.857500,25.594999,24.577499,24.952499,22.329790,1187161600
2014-10-14,25.097500,25.129999,23.795000,24.940001,22.318611,1529894800
2014-10-21,25.754999,26.372499,25.317499,26.277500,23.515526,1260813200
2014-10-28,26.350000,27.575001,26.337500,27.350000,24.475292,953302000
2014-11-04,27.340000,27.372499,26.930000,27.207500,24.347778,699463200
2014-11-11,27.174999,29.320000,27.100000,28.497499,25.612770,898871600
2014-11-18,28.485001,29.692499,28.450001,29.657499,26.655342,936475200
2014-11-25,29.767500,29.937500,27.817499,28.767500,25.855431,872948400
2014-12-02,28.375000,29.299999,27.905001,28.100000,25.255507,961762400
2014-12-09,27.547501,28.712500,26.587500,27.057501,24.318537,1077684800
2014-12-16,26.592501,28.372499,26.565001,28.235001,25.376837,1227224000
2014-12-23,28.307501,28.692499,28.002501,28.477501,25.594786,407311600
2014-12-30,28.410000,28.480000,26.352501,26.562500,23.873638,755100000
2015-01-06,26.635000,28.312500,26.157499,27.312500,24.547720,1074471200
2015-01-13,27.857500,28.200001,26.299999,26.497499,23.815218,1018303200
2015-01-20,26.959999,28.590000,26.625000,28.275000,25.412792,1017408000
