Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,27.250000,27.730000,26.639999,26.690001,21.952850,190825200
2013-01-08,26.750000,27.080000,26.280001,26.889999,22.117352,269018800
2013-01-15,26.830000,27.469999,26.830000,27.250000,22.413458,193175500
2013-01-22,27.299999,28.230000,27.000000,27.910000,22.956312,348681800
2013-01-29,27.820000,28.190001,27.400000,27.440001,22.569731,249459000
2013-02-05,27.620001,27.920000,27.100000,27.860001,22.915184,180894500
2013-02-12,27.879999,28.160000,27.750000,28.010000,23.038563,160020600
2013-02-19,27.879999,28.200001,27.230000,27.370001,22.512156,211407800
2013-02-26,27.379999,28.150000,27.330000,28.150000,23.345415,195165400
2013-03-05,28.290001,28.540001,27.670000,27.870001,23.113201,196372700
2013-03-12,27.840000,28.280001,27.639999,28.100000,23.303938,261783100
2013-03-19,28.120001,28.490000,27.959999,28.160000,23.353708,194457500
2013-03-26,28.240000,28.660000,28.080000,28.610001,23.726900,148526600
2013-04-02,28.590000,28.950001,28.110001,28.590000,23.710316,194469300
2013-04-09,28.730000,30.320000,28.510000,28.690001,23.793242,398992900
2013-04-16,28.900000,31.180000,28.500000,30.830000,25.567999,400239300
2013-04-23,30.700001,32.840000,30.379999,32.610001,27.044188,367689400
2013-04-30,32.560001,33.910000,32.279999,33.750000,27.989611,263318500
2013-05-07,33.650002,33.790001,32.320000,33.029999,27.392496,213514300
2013-05-14,32.860001,35.099998,32.799999,35.080002,29.092606,277244400
2013-05-21,35.099998,35.270000,33.900002,34.270000,28.620153,199027000
2013-05-28,34.419998,35.630001,34.410000,35.590000,29.722549,245173600
2013-06-04,35.619999,35.779999,34.430000,35.470001,29.622318,225924900
2013-06-11,35.049999,35.270000,34.250000,35.000000,29.229807,225326200
2013-06-18,34.970001,35.169998,32.570000,33.720001,28.160831,255373900
2013-06-25,34.080002,34.990002,33.459999,34.360001,28.695318,218333300
2013-07-02,34.410000,34.590000,33.580002,34.330002,28.670267,112107200
2013-07-09,34.580002,36.220001,34.139999,36.169998,30.206915,178259400
2013-07-16,36.009998,36.430000,31.020000,32.009998,26.732740,450679900
2013-07-23,31.910000,32.189999,31.209999,31.540001,26.340233,249330800
2013-07-30,31.780001,32.119999,31.549999,31.700001,26.473848,192439700
2013-08-06,31.549999,33.070000,31.250000,32.869999,27.450962,185738900
2013-08-13,32.509998,33.360001,30.840000,31.389999,26.214962,182090500
2013-08-20,31.440001,35.200001,31.370001,34.150002,28.720909,389839200
2013-08-27,33.520000,34.099998,32.799999,33.400002,28.090145,190854600
2013-09-03,31.750000,32.070000,30.950001,31.660000,26.626766,493535900
2013-09-10,31.900000,33.500000,31.790001,32.799999,27.585526,222567600
2013-09-17,33.419998,33.680000,32.500000,32.740002,27.535067,333574000
2013-09-24,32.869999,33.750000,32.150002,33.279999,27.989212,193284000
2013-10-01,33.349998,34.029999,33.200001,33.299999,28.006039,190446700
2013-10-08,33.310001,34.500000,32.799999,34.450001,28.973219,177562500
2013-10-15,34.669998,35.200001,34.330002,34.990002,29.427364,182813800
2013-10-22,35.020000,36.290001,33.570000,35.570000,29.915161,304126300
2013-10-29,35.630001,35.980000,35.259998,35.939999,30.226339,178707500
2013-11-05,35.790001,38.220001,35.770000,37.590000,31.614029,264678400
2013-11-12,37.380001,38.160000,36.900002,37.200001,31.286024,226671700
2013-11-19,36.849998,37.950001,36.669998,37.639999,31.656069,158198400
2013-11-26,37.570000,38.779999,37.349998,38.450001,32.582535,125508200
2013-12-03,38.139999,38.980000,37.180000,38.709999,32.802872,287141700
2013-12-10,38.610001,38.900002,36.540001,36.889999,31.260607,185495100
2013-12-17,36.939999,37.110001,35.529999,36.619999,31.031792,230817700
2013-12-24,36.720001,37.619999,36.639999,37.290001,31.599569,62709300
2013-12-31,37.400002,37.580002,36.110001,36.130001,30.616587,122874200
2014-01-07,36.330002,36.490002,34.830002,34.980000,29.642065,218741500
2014-01-14,34.730000,37.000000,34.630001,36.380001,30.828419,170722100
2014-01-21,36.820000,37.549999,35.520000,36.029999,30.531830,218241900
2014-01-28,36.119999,37.990002,35.750000,36.480000,30.913164,281213100
2014-02-04,36.970001,37.189999,35.689999,36.799999,31.184341,205891600
2014-02-11,36.880001,37.860001,36.860001,37.619999,31.879204,128236200
2014-02-18,37.630001,38.349998,37.209999,37.689999,31.938517,160216900
2014-02-25,37.610001,38.459999,37.189999,37.779999,32.254860,176614200
2014-03-04,38.200001,38.480000,37.689999,37.820000,32.289009,116502900
2014-03-11,37.869999,38.450001,37.509998,38.049999,32.485367,135555400
2014-03-18,38.259998,40.939999,38.220001,40.500000,34.577076,285751100
2014-03-25,40.660000,41.500000,39.340000,40.990002,34.995415,210898800
2014-04-01,41.150002,41.660000,39.639999,39.799999,33.979443,180380500
2014-04-08,39.750000,40.689999,38.900002,39.180000,33.450123,175614900
2014-04-15,39.340000,40.419998,39.049999,39.939999,34.098965,123494100
2014-04-22,39.959999,41.290001,39.299999,40.869999,34.892960,201528100
2014-04-29,41.099998,41.189999,39.299999,39.430000,33.663559,159759800
2014-05-06,39.290001,40.020000,38.509998,39.970001,34.124584,153407500
2014-05-13,39.919998,40.500000,39.270000,39.750000,33.936756,138021200
2014-05-20,39.680000,40.369999,39.459999,40.119999,34.494274,81941400
2014-05-27,40.259998,41.090000,39.810001,40.790001,35.070339,124832200
2014-06-03,40.599998,41.660000,39.860001,41.270000,35.483028,112222800
2014-06-10,41.029999,41.610001,40.290001,41.500000,35.680779,113491900
2014-06-17,41.290001,42.000000,40.340000,41.990002,36.102074,135952600
2014-06-24,41.830002,42.290001,41.430000,41.700001,35.852734,175595700
2014-07-01,41.860001,42.150002,41.529999,41.990002,36.102074,85046800
2014-07-08,41.869999,42.450001,41.049999,42.139999,36.231037,117482900
2014-07-15,42.330002,45.709999,42.029999,44.840000,38.552433,255258900
2014-07-22,45.000000,45.450001,43.930000,43.970001,37.804428,182605900
2014-07-29,43.910000,44.099998,42.599998,43.369999,37.288559,156669700
2014-08-05,43.310001,43.459999,42.209999,43.200001,37.142387,130509600
2014-08-12,43.040001,45.110001,43.000000,45.110001,38.784557,132136200
2014-08-19,44.970001,45.470001,44.830002,45.169998,38.836163,110400000
2014-08-26,45.310001,45.439999,44.610001,45.430000,39.303661,75426200
2014-09-02,45.430000,46.799999,44.529999,46.470001,40.203415,165812900
2014-09-09,46.470001,47.020000,46.099998,46.240002,40.004433,172733500
2014-09-16,46.389999,47.570000,46.230000,47.060001,40.713867,342987600
2014-09-23,46.849998,47.110001,45.759998,46.439999,40.177475,146260200
2014-09-30,46.369999,46.529999,45.610001,46.090000,39.874649,149298100
2014-10-07,45.860001,46.889999,43.490002,43.650002,37.763710,182255800
2014-10-14,43.869999,44.380001,42.099998,44.080002,38.135723,222586000
2014-10-21,44.360001,46.900002,44.189999,45.910000,39.718929,206904600
2014-10-28,45.860001,47.459999,45.770000,47.439999,41.042603,148379900
2014-11-04,47.299999,49.150002,47.250000,48.889999,42.297077,141388900
2014-11-11,48.849998,50.049999,48.520000,49.459999,42.790199,131778000
2014-11-18,49.130001,49.330002,47.389999,47.590000,41.172382,150002600
2014-11-25,47.660000,48.779999,47.279999,48.619999,42.328785,107897600
2014-12-02,48.840000,49.060001,47.450001,47.700001,41.527828,133605200
2014-12-09,47.110001,47.919998,46.549999,46.669998,40.631104,147318900
2014-12-16,45.900002,48.119999,44.900002,47.980000,41.771606,213995100
2014-12-23,48.369999,48.799999,47.259998,47.450001,41.310181,62723200
2014-12-30,47.439999,47.619999,46.250000,46.330002,40.335110,105525000
2015-01-06,46.380001,47.820000,45.490002,46.599998,40.570171,142803300
2015-01-13,46.970001,47.910000,45.169998,46.240002,40.256748,133436300
2015-01-20,46.299999,47.389999,45.480000,47.009998,40.927109,179878100
2015-01-27,42.950001,43.200001,40.230000,41.279999,35.938549,445613800
2015-02-03,41.630001,42.790001,41.049999,42.360001,36.878799,196243100
2015-02-10,42.740002,43.869999,42.180000,43.869999,38.193413,141466900
2015-02-17,43.970001,44.189999,43.049999,44.150002,38.437183,150650700
2015-02-24,44.150002,44.299999,43.549999,43.880001,38.473984,149720500
2015-03-03,43.560001,43.830002,42.150002,42.849998,37.570892,149047600
2015-03-10,42.349998,42.709999,40.610001,41.560001,36.439823,224648700
2015-03-17,41.369999,43.130001,41.150002,42.860001,37.579659,207897900
2015-03-24,42.779999,43.169998,40.830002,40.959999,35.913738,175929900
2015-03-31,40.779999,41.779999,40.119999,41.549999,36.431053,148463700
2015-04-07,41.610001,42.060001,41.040001,41.759998,36.615162,137585400
2015-04-14,41.799999,43.169998,41.160000,42.910000,37.623497,162543000
2015-04-21,43.000000,48.139999,42.529999,48.029999,42.112720,287569500
2015-04-28,47.779999,49.540001,47.700001,48.240002,42.296837,246237700
2015-05-05,47.820000,48.160000,46.020000,47.369999,41.534016,195748200
2015-05-12,46.849998,48.910000,46.419998,48.009998,42.095169,149873000
2015-05-19,47.560001,47.930000,46.820000,46.900002,41.121941,101754000
2015-05-26,46.830002,48.020000,46.189999,47.230000,41.680408,141558100
2015-06-02,46.930000,47.740002,45.669998,45.730000,40.356651,124805700
2015-06-09,45.759998,46.919998,45.020000,45.480000,40.136032,137356800
2015-06-16,45.349998,46.830002,45.299999,46.230000,40.797913,172587800
2015-06-23,46.130001,46.279999,44.360001,44.369999,39.156467,165320400
2015-06-30,44.709999,45.230000,43.939999,44.389999,39.174114,109075300
2015-07-07,44.340000,45.619999,43.320000,45.540001,40.188988,162290500
2015-07-14,45.450001,47.130001,45.310001,46.919998,41.406822,135880600
2015-07-21,46.779999,47.330002,45.099998,45.349998,40.021297,207902900
2015-07-28,45.580002,47.400002,44.790001,46.810001,41.309765,170380100
2015-08-04,46.750000,48.410000,46.259998,47.330002,41.768642,129974500
2015-08-11,46.820000,47.450001,45.709999,47.320000,41.759834,124619100
2015-08-18,46.840000,47.430000,39.720001,41.680000,36.782536,250104600
2015-08-25,42.570000,44.150002,40.389999,43.520000,38.659607,247656200
2015-09-01,42.169998,43.980000,41.660000,42.610001,37.851227,152784400
2015-09-08,43.299999,44.400002,42.750000,43.040001,38.233208,148094400
2015-09-15,43.189999,45.000000,43.080002,44.110001,39.183708,174343500
2015-09-22,43.380001,44.730000,43.209999,43.290001,38.455284,130135100
2015-09-29,43.369999,46.889999,43.049999,46.630001,41.422268,172588700
2015-10-06,46.330002,47.540001,45.950001,47.000000,41.750938,136871100
2015-10-13,46.560001,47.880001,46.529999,47.619999,42.301701,127712900
2015-10-20,47.439999,54.320000,47.020000,54.250000,48.191254,312444000
2015-10-27,53.990002,54.369999,52.619999,53.240002,47.294048,205107600
2015-11-03,52.930000,54.980000,52.900002,54.160000,48.111313,170517500
2015-11-10,54.070000,54.200001,52.529999,53.770000,47.764854,196174500
2015-11-17,53.169998,54.660000,52.849998,54.189999,48.137943,154794000
2015-11-24,53.919998,54.959999,53.580002,54.349998,48.605492,110855600
2015-12-01,54.410000,56.230000,53.930000,55.810001,49.911201,200529000
2015-12-08,55.470001,56.099998,53.680000,55.139999,49.312012,187345400
2015-12-15,55.660000,56.790001,54.029999,54.830002,49.034775,240557700
2015-12-22,54.990002,55.959999,54.500000,55.950001,50.036400,87618800
2015-12-29,56.290001,56.849998,53.389999,54.799999,49.007946,130548000
2016-01-05,54.930000,55.389999,51.459999,52.299999,46.772179,215861300
2016-01-12,52.759998,54.070000,50.340000,50.990002,45.600639,227181700
2016-01-19,51.480000,52.650002,49.099998,51.790001,46.316078,219292200
2016-01-26,51.790001,55.090000,51.020000,54.709999,48.927460,256010000
2016-02-02,54.169998,54.259998,48.189999,49.410000,44.187637,282160200
2016-02-09,49.020000,50.680000,48.509998,50.500000,45.162426,168099400
2016-02-16,50.900002,53.000000,50.130001,52.650002,47.085197,163823600
2016-02-23,52.340000,52.680000,50.200001,50.880001,45.828972,156479200
2016-03-01,50.970001,52.970001,50.580002,51.029999,45.964066,158184200
2016-03-08,50.799999,53.590000,50.599998,53.169998,47.891632,156833800
2016-03-15,52.750000,55.000000,52.740002,53.860001,48.513138,172571600
2016-03-22,53.610001,54.330002,53.330002,53.540001,48.224903,80228200
2016-03-29,53.660000,55.660000,53.450001,55.430000,49.927273,116621100
2016-04-05,55.189999,55.299999,54.209999,54.310001,48.918457,103267500
2016-04-12,54.369999,56.590000,53.759998,56.459999,50.855015,119219200
2016-04-19,56.630001,56.770000,50.770000,52.110001,46.936863,264762600
2016-04-26,52.259998,52.349998,49.349998,50.610001,45.585773,201562900
2016-05-03,50.340000,50.590000,49.459999,50.070000,45.099392,118847400
2016-05-10,50.330002,51.959999,50.189999,51.830002,46.684666,113657200
2016-05-17,51.720001,51.730000,49.820000,50.029999,45.063347,126577900
2016-05-24,50.700001,52.490002,50.400002,52.320000,47.455620,100854700
2016-05-31,52.259998,53.000000,51.599998,52.130001,47.283298,127430300
2016-06-07,52.240002,52.730000,49.060001,50.139999,45.478310,171372900
2016-06-14,49.900002,50.830002,49.509998,50.070000,45.414833,188841700
2016-06-21,50.200001,52.060001,48.040001,48.430000,43.927299,275662700
2016-06-28,48.919998,51.720001,48.669998,51.160000,46.403477,119372900
2016-07-05,50.830002,52.830002,50.389999,52.590000,47.700527,123219300
2016-07-12,52.939999,54.340000,52.790001,53.959999,48.943150,140678200
2016-07-19,53.709999,56.840000,52.930000,56.730000,51.455616,233774300
2016-07-26,56.520000,57.290001,55.720001,56.580002,51.319557,154519000
2016-08-02,56.849998,58.209999,56.310001,58.060001,52.661972,132594000
2016-08-09,58.169998,58.500000,57.619999,58.119999,52.716389,91779000
2016-08-16,57.610001,57.750000,57.200001,57.669998,52.308216,86087100
2016-08-23,57.900002,58.700001,57.689999,58.099998,53.026703,92824900
2016-08-30,57.980000,58.189999,57.009998,57.669998,52.634239,82766400
2016-09-06,57.779999,57.840000,55.610001,57.049999,52.068382,118334800
2016-09-13,56.500000,57.750000,55.980000,56.930000,51.958858,146583800
2016-09-20,57.349998,58.000000,56.750000,56.900002,51.931488,112557500
2016-09-27,56.930000,58.169998,56.680000,57.419998,52.406075,123165300
2016-10-04,57.270000,58.389999,56.970001,58.040001,52.971931,91310400
